Symbol;Position;Type;Lots;Open time;Open price;Close time;Close price;Profit;Net profit;Comment
EURUSD;591178252;Buy Stop;0.02;04.04.2022 15:59:56;1.09927;04.04.2022 16:00:16;1.09892;-15.47;-15.47;[S/L]
NOV.US;591103988;Buy Stop;4;04.04.2022 15:30:22;20.56;04.04.2022 15:38:02;20.14;-37.13;-37.13;[S/L]
EURUSD;591061818;Buy Stop;0.02;04.04.2022 14:54:02;1.09996;04.04.2022 15:10:50;1.09962;-15.02;-15.02;[S/L]
EURUSD;591060370;Sell;0.02;04.04.2022 14:52:23;1.0997;04.04.2022 14:53:53;1.09997;-11.96;-11.96;
EURUSD;591060175;Buy;0.02;04.04.2022 14:52:08;1.10011;04.04.2022 14:52:19;1.09976;-15.47;-15.47;
EURUSD;591058508;Buy;0.02;04.04.2022 14:50:31;1.10018;04.04.2022 14:51:35;1.09991;-11.93;-11.93;
EURUSD;591025767;Buy Stop;0.02;04.04.2022 14:24:09;1.10078;04.04.2022 14:47:28;1.10029;-21.64;-21.64;[S/L]
EURUSD;590888353;Sell Stop;0.02;04.04.2022 11:40:24;1.10193;04.04.2022 12:06:54;1.10136;25.2;25.20;[S/L]
EURUSD;590883795;Buy;0.02;04.04.2022 11:36:11;1.10232;04.04.2022 11:40:20;1.10196;-15.88;-15.88;
EURUSD;590882228;Sell Stop;0.02;04.04.2022 11:34:40;1.10191;04.04.2022 11:35:55;1.10224;-14.59;-14.59;[S/L]
EURUSD;590865670;Sell Stop;0.02;04.04.2022 11:17:47;1.10256;04.04.2022 11:20:30;1.1029;-15.03;-15.03;[S/L]
EURUSD;590833812;Sell Stop;0.02;04.04.2022 10:40:11;1.10334;04.04.2022 11:01:51;1.10261;32.25;32.25;[S/L]
